"id","In","Sensor","Pin","Fecha","Hora","Comentario"
"2168,""InAn"",""29.7"",""19"",""2024-02-19"",""21:22:40"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2169,""InAn"",""29.7"",""19"",""2024-02-19"",""21:52:52"",""Alert activated Temperatura { Sensor Value: 29.700000762939453 idpinout: 20 idpino: 19 }"""
"2170,""InAn"",""29.5"",""19"",""2024-02-19"",""22:23:16"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2171,""InAn"",""29.4"",""19"",""2024-02-19"",""22:53:34"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2172,""InAn"",""29.5"",""19"",""2024-02-19"",""23:23:44"",""Alert activated Temperatura { Sensor Value: 29.5 idpinout: 20 idpino: 19 }"""
"2173,""InAn"",""29.4"",""19"",""2024-02-19"",""23:53:52"",""Alert activated Temperatura { Sensor Value: 29.399999618530273 idpinout: 20 idpino: 19 }"""
"2174,""InAn"",""29.3"",""19"",""2024-02-20"",""00:23:58"",""Alert activated Temperatura { Sensor Value: 29.299999237060547 idpinout: 20 idpino: 19 }"""
"2175,""InAn"",""29.2"",""19"",""2024-02-20"",""00:54:08"",""Alert activated Temperatura { Sensor Value: 29.200000762939453 idpinout: 20 idpino: 19 }"""
"2176,""InAn"",""29.1"",""19"",""2024-02-20"",""01:24:16"",""Alert activated Temperatura { Sensor Value: 29.100000381469727 idpinout: 20 idpino: 19 }"""
"2177,""InAn"",""28.9"",""19"",""2024-02-20"",""01:54:28"",""Alert activated Temperatura { Sensor Value: 28.899999618530273 idpinout: 20 idpino: 19 }"""
"2178,""InAn"",""29.0"",""19"",""2024-02-20"",""02:24:37"",""Alert activated Temperatura { Sensor Value: 29.0 idpinout: 20 idpino: 19 }"""
"2179,""InAn"",""28.9"",""19"",""2024-02-20"",""02:54:44"",""Alert activated Temperatura { Sensor Value: 28.899999618530273 idpinout: 20 idpino: 19 }"""
"2180,""InAn"",""28.8"",""19"",""2024-02-20"",""03:24:49"",""Alert activated Temperatura { Sensor Value: 28.799999237060547 idpinout: 20 idpino: 19 }"""
"2181,""InAn"",""28.8"",""19"",""2024-02-20"",""03:54:59"",""Alert activated Temperatura { Sensor Value: 28.799999237060547 idpinout: 20 idpino: 19 }"""
"2182,""InAn"",""28.8"",""19"",""2024-02-20"",""04:25:07"",""Alert activated Temperatura { Sensor Value: 28.799999237060547 idpinout: 20 idpino: 19 }"""
"2183,""InAn"",""28.7"",""19"",""2024-02-20"",""04:55:16"",""Alert activated Temperatura { Sensor Value: 28.700000762939453 idpinout: 20 idpino: 19 }"""
